Assignee,Summary
sbergman,odt and filesave causes general error for fileopen
sbergman,fileopen and filesave causes general error for odt
erack,filesave saving to xls format omits to save formula reflection of cells where the formula result is an error
erack,filesave saving to xls format omits to save formula expressions of cells where the formula result is an error
lionel,is null is invalid sql
lionel,is null is invalid sql 
kohei,dataloss calc loses comments when change file is saved
kohei,dataloss calc loses comments when changed file is saved
erack,dataloss calc change data entered in certain
erack,dataloss calc change data entered in certain cells
serval2412,options crashes when in libo dialog
serval2412,libo crashes when in options dialog
michael.stahl,odf importee unchecking same content on first page footer option doesnt work
michael.stahl,odf import unchecking same content on first page footer option doesnt work
serval2412,osx crash sigabrt when opening presentation in impress containing video check clips
serval2412,osx crash sigabrt when opening presentation in impress containing video clips
michael.stahl,filesave saving any file freezes whatsoever libo
michael.stahl,filesave saving any file freezes libo
momonasmon,cmd v or a inside toolbar hosted edit fields paste into document instead os x only
momonasmon,cmd v or cmd a inside toolbar hosted edit fields paste into document instead os x only 
dennisfrancis.in,excessive duplicate accessible focused events for calc input line a y
dennisfrancis.in,excessive duplicate accessible focused events for calc input line a y 
kohei,background color for legend hide out area hides the legend
kohei,background color for legend area hides the legend
erack,dsum pay different results in
erack,dsum gives different results in 
kohei,crash on classify
kohei,crash on sorting
momonasmon,database creation wizard halts in step
momonasmon,database creation wizard halts in step 
michael.stahl,clank when saving a particular document as docx
michael.stahl,crash when saving a particular document as docx
serval2412,smash docx roundtrip causes crash on open
serval2412,docx roundtrip causes crash on open
mikekaganski,crash when porta opening libreoffice
mikekaganski,crash when opening libreoffice
momonasmon,calc crashes after adding text to a chart
momonasmon,calc crashes after adding text to a chart
serval2412,libreoffice ram when pattern area type is selected in chart column
serval2412,libreoffice crashes when pattern area type is selected in chart column
michael.stahl,crash writer crashes scrolling down y document a a
michael.stahl,crash writer crashes scrolling down a document a y 
momonasmon,mailmerge writer crashes wizard nd time
momonasmon,mailmerge writer crashes using wizard nd time thru
erack,crash in anonymous namespace sccaptioncreator updatecaptionpos
erack,crash in anonymous namespace sccaptioncreator updatecaptionpos 
erack,when creating a chart
erack,crash when creating a chart
Armin.Le.Grand,crash when the anchor icon is dropped outside of the papers steps comment
Armin.Le.Grand,crash when the anchor icon is dropped outside of the document steps comment 
michael.stahl,crash on changing page type in document editing with many footnotes indium steps in comment
michael.stahl,crash on changing page type in document editing with many footnotes steps in comment 
michael.stahl,crash libreoffice crashes shut when closing a document
michael.stahl,crash libreoffice crashes when closing a document
michael.stahl,crash libreoffice crashes while edit the header
michael.stahl,crash libreoffice crashes while deleting the header
michael.stahl,crash libreoffice crashes while put in a textbox in the header
michael.stahl,crash libreoffice crashes while inserting a textbox in the header
michael.stahl,crash libreoffice crashes while deleting the header containing an image
michael.stahl,crash libreoffice crashes while deleting the header containing an image
michael.stahl,crash libreoffice crashes while inserting the header footer in a written document
michael.stahl,crash libreoffice crashes while inserting the header footer in a document
michael.stahl,mso xml filter out fileopen assertion len at sequence cxx
michael.stahl,mso xml filter fileopen assertion len at sequence cxx 
momonasmon,opening macro tab of properties dialog images
momonasmon,crash opening macro tab of properties dialog images
michael.stahl,crash afterward crash after undo operation bigptrarray index block unsigned long
michael.stahl,crash crash after undo operation bigptrarray index block unsigned long 
michael.stahl,crash writer crashes while after copy pasting specific content
michael.stahl,crash writer crashes while closing after copy pasting specific content
erack,crash while undoing new on a paste sheet
erack,crash while undoing paste on a new sheet
Katarina.Behrens,crash libreoffice crashes while clicking tick on show signatures button
Katarina.Behrens,crash libreoffice crashes while clicking on show signatures button
dennisfrancis.in,crash smash in sfxitempool isinrange unsigned short
dennisfrancis.in,crash in sfxitempool isinrange unsigned short 
michael.stahl,crash after accepting all changes liken from compared documents
michael.stahl,crash after accepting all changes from compared documents
serval2412,ended crash libreoffice crashes hovering over a calendar
serval2412,crash libreoffice crashes hovering over a calendar
michael.stahl,fileopen crash sigsegv when opening file with invalid style
michael.stahl,fileopen crash sigsegv when opening file with invalid style map
serval2412,in when editing code activecell string crash the built in editor basic
serval2412,crash when editing code activecell string in the built in editor basic 
sbergman,lo b impress and imbibe dont run on macos gpg libre
sbergman,lo b impress and draw dont run on macos gpg libre 
michael.stahl,menu libreoffice help libreoffice subject matter help content crash
michael.stahl,menu libreoffice help libreoffice help content crash
michael.stahl,crash inserting link to docx file in section
michael.stahl,crash inserting link to docx file in section
