sbergman,FILEOPEN and FILESAVE causes General Error for .odt
erack,FILESAVE: Saving to XLS format omits to save formula expressions of cells where the formula result is an error
lionel,"""Is Null"" is invalid SQL"
kohei,DATALOSS: Calc loses comments when (changed) file is saved
erack,DATALOSS: Calc change data entered in certain cells
serval2412,LibO crashes when in options dialog
michael.stahl,ODF import - Unchecking 'same content on first page' footer option doesnt work
serval2412,OSX - CRASH sigabrt when opening presentation in Impress containing video clips
michael.stahl,FILESAVE: saving any file freezes LibO
momonasmon,Cmd-V or Cmd-A inside toolbar-hosted edit fields paste into document instead (OS X only)
dennisfrancis.in,Excessive duplicate accessible focused events for Calc input line [a11y]
kohei,Background color for legend area hides the legend
erack,Dsum gives different results in 4.2.0.1
kohei,CRASH on sorting
momonasmon,Database creation wizard halts in step 1
michael.stahl,Crash when saving a particular document as DOCX
serval2412,DOCX roundtrip causes crash on open
mikekaganski,Crash when opening Libreoffice
momonasmon,Calc crashes after adding text to a chart
serval2412,LibreOffice crashes when Pattern area type is selected in Chart column
michael.stahl,CRASH: Writer crashes scrolling down a document (a11y)
momonasmon,MailMerge: Writer crashes using wizard 2nd time thru
erack,Crash in: `anonymous namespace'::ScCaptionCreator::UpdateCaptionPos()
erack,Crash when creating a chart
Armin.Le.Grand,Crash when the anchor icon is dropped outside of the document ( steps comment 24 )
michael.stahl,Crash on changing page type in document (editing) with many footnotes (steps in comment 14)
michael.stahl,CRASH: LibreOffice crashes when closing a document
michael.stahl,CRASH: Libreoffice crashes while deleting the header
michael.stahl,CRASH: Libreoffice crashes while inserting a textbox in the header
michael.stahl,CRASH: LibreOffice crashes while deleting the header containing an image
michael.stahl,CRASH: Libreoffice crashes while inserting the header/footer in a document
michael.stahl,MSO2003XML filter: FILEOPEN: assertion 'len >= 0' at sequence.cxx:664
momonasmon,"CRASH Opening macro tab of properties dialog (images, frames) causes crash"
michael.stahl,CRASH: Crash after undo operation (BigPtrArray::Index2Block(unsigned long)
michael.stahl,CRASH: Writer crashes while closing after copy/pasting specific content
erack,CRASH while undoing paste on a new sheet
Katarina.Behrens,CRASH: LibreOffice crashes while clicking on Show Signatures button
dennisfrancis.in,Crash in: SfxItemPool::IsInRange(unsigned short)
michael.stahl,Crash after accepting all changes from compared documents
serval2412,CRASH: LibreOffice crashes hovering over a calendar
michael.stahl,FILEOPEN: crash sigsegv when opening file with invalid style:map
serval2412,"Crash when editing code ""ActiveCell.String = "" in the built-in editor ""BASIC"""
sbergman,LO60b1: Impress and Draw don't run on macOS (gpg4libre)
michael.stahl,Menu/LibreOffice/Help/LibreOffice Help/[Content] -> Crash
michael.stahl,CRASH: Inserting link to .docx file in section
dennisfrancis.in,EDITING: CRASH (Reason=EXCEPTION_ACCESS_VIOLATION_READ) when paste special contents from particular source.ods as GDI metafile
markus.mohrhard,CRASH: Read-only file crashes executing the macro (steps in comment 3)
momonasmon,Libreoffice crash on exit when sidebar is enabled  and attached (steps in comment 4)
mikekaganski,Crash when dragging table with many rows to a table with less rows
serval2412,Crash when I open a specific .ODT file with table
erack,Crash when asking subtotals on 2 groups with pre-sort area checked
michael.stahl,CRASH when adding paragraph's in a cell of a complex table structure
mikekaganski,Crash (fatal error) when attempting a mail merge print ( only the first time the connection is done)
Armin.Le.Grand,Crash when showing Comment
Armin.Le.Grand,CRASH: LibreOffice crashes being closed with content in the clipboard
Armin.Le.Grand,Crash inserting Fontwork
Katarina.Behrens,Print Preview crashes on signed document
Armin.Le.Grand,CRASH: LibreOffice crashes if the sidebar is empty
dennisfrancis.in,EDITING Crashes on Undo after Cut conditional formatting data
Armin.Le.Grand,Draw/Impress crashes upon pasting a table from Writer (not on Windows)
serval2412,Launching Character dialog from any module crashes ( with CJK and CTL disabled )
Armin.Le.Grand,CRASH: Draw just closes if to try select table in file
serval2412,CRASH: Writer's master document crashed when insert pdf file
Armin.Le.Grand,CRASH: Writer crashes inserting a section
mikekaganski,CRASH: Writer crashes in print preview
mikekaganski,"Crash when two Fields are empty, on same line and inside a table and hide paragraphs of empty fields active"
mikekaganski,Crash: Closing LibreOffice in print preview mode
Armin.Le.Grand,REPORTBUILDER: Report label display string lost when saved and the actual string 'LABEL' used when the report is run next.
Armin.Le.Grand,crash when inserting a measure line
Armin.Le.Grand,"Thick black borders shown on sheet upon opening, cell selection not shown and Writer selection only shows outline"
serval2412,branch crashes in bibliography database -> Data -> autofilter
Armin.Le.Grand,"LibO crashes each time I try to add an object (button, check box, etc.) in a Dialog form"
mikekaganski,"Crash restarting LibreOffice after applying an option (no crash if going via ""OK"")"
sbergman,LO62b1: on macOS local help opens an empty page in default browser
Armin.Le.Grand,button flashing - mouse wheel zooming breaks
erack,EDITING Calc crashes when manipulating Negative numbers in red on Currency ( not gtk3 )
michael.stahl,"Hiding characters will crash.  Crash in: SwAttrIter::CtorInitAttrIter(SwTextNode &,SwScriptInfo &,SwTextFrame const *)"
michael.stahl,Writer crashes after undoing + redoing ToC insertion in middle of word
mikekaganski,"crash: use of ""com.sun.star.ui.dialogs.FolderPicker"" crashes"
michael.stahl,Crash if switch from user outline numbering to chapter numbering with same paragraph style
serge.krot,CRASH: cutting and undoing a sheet with external links
Armin.Le.Grand,"Font changed when typing into cell, in edit mode, with redline"
s.mehrbrodt,crash: on open basic editor to edit macros
mikekaganski,"Crash in: ScColumn::MergeBlockFrame(SvxBoxItem *,SvxBoxInfoItem *,ScLineFlags &,long,long,bool,short)"
s.mehrbrodt,Crash and document recovery on option change of view -> icon style
s.mehrbrodt,CRASH: Closing LibreOffice after deleting a chart
serval2412,Crash when linking an odp file
michael.stahl,For every repeated paste the page count (incl. content) doubles
vasily.melenchuk,"When saving an encrypted document, unchecking 'Save with password' has no effect, encryption is kept"
sbergman,Binary URP bridge disposed during call to ServiceManager.createInstanceWithContext
michael.stahl,Edited forms created by older version of LO cannot be opened any more ( steps in comment 11)
jluth,FORMATTING: Fit to Frame for text boxes is broken
jluth,Writer: Incorrect numbering when cells are merged in the table
markus.mohrhard,"EDITING: Calculate formula: Delete or Backspace to empty a refecenced cell, do not result in updating"
jluth,Section Breaks in .DOCX not handled similarly between LibO and Word
sbergman,Presenter console: Don't see the active slide after launch
kohei,Calc crashes when modifying a named range
kohei,FILESAVE: CONDITIONAL FORMATTING is lost after deleting sheet and saving to ODS.
erack,Calc: State of AutoFilter lost after sorting
markus.mohrhard,FORMATTING: Conditional formatting not copied
jluth,PDF export missing ToC page numbers
serval2412,MAILMERGE: Outgoing mailserver (set in Tools > Options > Writer > Mail merge Email) not found
sbergman,"macOS -- LibreOffice crash within 40s after opening app when online update automatically enabled, or with check from the Extension manager -- https certificate issues"
erack,FILEOPEN: CSV cannot handle field using embedded tab and line breaks altogether
jluth,EDITING: Problems changing focus to inside frame
kohei,Other: Recalculate does not always work if formula link to other sheets
erack,Insertion of a sheet changes values in other sheets
markus.mohrhard,Changes in libcurl break check for update (at 5.0.0) and error reporting (at 5.2.0) on Windows XP sp3 and Windows XP sp2 (64-bit) installs
serval2412,Names of new hatch patterns in 7.0 not localizable
jluth,"ODT containing multi-page table with table setting ""Keep with next paragraph"" is pushed to next page"
michael.stahl,mirrored page layout is not actually mirrored
lionel,Database Creation Wizard - Mac Addressbook creation failure
michael.stahl,"LO 4.3.0 for Windows crashes on CPUs that do not support SSE2: Application Error soffice.bin, version 4.3.0.4, module sal3.dll, version 4.3.0.4, address 0x000268d5."
lionel,"embedded hsqldb; in view, computed row without alias makes whole file unusable"
michael.stahl,TABLES: Writer corrupts large tables
erack,"EDITING: Calculate formula: DEl or BS to empty a cell with a formula, does not result in updating a formula referencing that cell"
michael.stahl,FILESAVE: Libreoffice Writer 4.0 crashing on saving file
markus.mohrhard,EDITING Data > Validity broken (for list entries at least)
michael.stahl,"ODF import: style:page-number ""auto"" sets Page Number offset to 0"
jluth,EDITING TABLE: using comments on cells in WRITER is incompatible with formulas
nemeth,Libre Logo: LibreOffice crashes opening a window error or a print windows
markus.mohrhard,Chart doesn't show correct values on X-axis
michael.stahl,"Properties ""Create from"" of index/table are changed on save"
lionel,"CRASH - In a form, try to insert when a record is selected in ""Datasource as Table"" view causes LO to abort"
jluth,FILESAVE: Image from first page appears on all pages of document after saving file on LO
serval2412,FILEOPEN: Crash on opening wikipedia ODT Book
michael.stahl,debug abort when creating a report
serval2412,CRASH when inserting an input field
erack,Crash: data text to columns
michael.stahl,"segfault whle closing program after ""Autocorrect Options..."""
erack,Calc crashes when applying subtotals
sbergman,Open/Create a report in Base causes LO to freeze (Windows)
michael.stahl,WRITER: Crash on paste with  Zoom - Page width
erack,Unexpectedly quit when use Data->Sort  (crash)
sbergman,Crash when close a LibODev if enable a While Typing/Autocorrect
erack,Fatal error and crash when attempt to delete a row
serval2412,"converting an object, assertion in {anonymous}::implLookupClient (gtk2 only)"
serval2412,Crash if add row in control grid and select row
dennisfrancis.in,CALC keeps running on exit after COPYing 3+ whole rows to clipboard with OPENGL enabled
michael.stahl,Bad allocation or crash on cut text in attached ODT (with Non-Printing Characters hidden) (LibreOffice not maximized?)
serval2412,FIREBIRD: MIGRATION: Migration assistant does not run after user answers yes to prompt to begin
jluth,This version is unable to retrieve data from a webpage (link external data)
mikekaganski,LibreOffice crashes when opening a document in print preview
erack,Calc crashes when viewing details of two Statistical functions in Function Wizard
michael.stahl,Crash in: swlo.dll ( steps in comment 12)
dennisfrancis.in,Wrong calculation after copy/paste of a formula
